SHIPPER;TAHUN;BULAN;PERIODE;DAILY AVERAGE (MMSFCD)
PTGN;2025;11;Nov-25;0
PTGN;2025;12;Dec-25;0
IAE;2025;1;Jan-25; 13.51 
IAE;2025;2;Feb-25; 19.03 
IAE;2025;3;Mar-25; 11.76 
IAE;2025;4;Apr-25; 12.00 
IAE;2025;5;May-25; 12.18 
IAE;2025;6;Jun-25; 7.91 
IAE;2025;7;Jul-25; 4.26 
IAE;2025;8;Aug-25; - 
IAE;2025;9;Sep-25; 0.88 
IAE;2025;10;Oct-25;0
IAE;2025;11;Nov-25;0
IAE;2025;12;Dec-25;0
SCE;2025;1;Jan-25; 3.19 
SCE;2025;2;Feb-25; 3.17 
SCE;2025;3;Mar-25; 3.46 
SCE;2025;4;Apr-25; 2.88 
SCE;2025;5;May-25; 3.47 
SCE;2025;6;Jun-25; 2.97 
SCE;2025;7;Jul-25; 3.07 
SCE;2025;8;Aug-25; 3.39 
SCE;2025;9;Sep-25; 2.82 
SCE;2025;10;Oct-25;0
SCE;2025;11;Nov-25;0
SCE;2025;12;Dec-25;0
PGN JARGAS;2025;1;Jan-25; 0.77 
PGN JARGAS;2025;2;Feb-25; 0.77 
PGN JARGAS;2025;3;Mar-25; 0.78 
PGN JARGAS;2025;4;Apr-25; 0.75 
PGN JARGAS;2025;5;May-25; 0.76 
PGN JARGAS;2025;6;Jun-25; 1.10 
PGN JARGAS;2025;7;Jul-25; 1.16 
PGN JARGAS;2025;8;Aug-25; 1.17 
PGN JARGAS;2025;9;Sep-25; 1.14 
PGN JARGAS;2025;10;Oct-25;0
PGN JARGAS;2025;11;Nov-25;0
PGN JARGAS;2025;12;Dec-25;0
SNR;2025;1;Jan-25; 1.65 
SNR;2025;2;Feb-25; 1.53 
SNR;2025;3;Mar-25; 1.41 
SNR;2025;4;Apr-25; 1.50 
SNR;2025;5;May-25; 1.24 
SNR;2025;6;Jun-25; 2.67 
SNR;2025;7;Jul-25; 1.79 
SNR;2025;8;Aug-25; 3.38 
SNR;2025;9;Sep-25; 4.61 
SNR;2025;10;Oct-25;0
SNR;2025;11;Nov-25;0
SNR;2025;12;Dec-25;0
;;;;
